PassengerId,Name,Pclass,Sex,Age,Fare,Cabin,Embarked,Survived,completeness,consistency,validity,accuracy,final_label,notes
471,"Keefe, Mr. Arthur",3,male,,7.25,,S,0,,,,,,
318,"Moraweck, Dr. Ernest",2,male,54.0,14.0,,S,0,,,,,,
226,"Berglund, Mr. Karl Ivar Sven",3,male,22.0,9.35,,S,0,,,,,,
578,"Silvey, Mrs. William Baird (Alice Munger)",1,female,39.0,55.9,E44,S,1,,,,,,
29,"O'Dwyer, Miss. Ellen ""Nellie""",3,female,,7.8792,,Q,1,,,,,,
850,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",1,female,,89.1042,C92,C,1,,,,,,
632,"Lundahl, Mr. Johan Svensson",3,male,51.0,7.0542,,S,0,,,,,,
184,"Becker, Master. Richard F",2,male,1.0,39.0,F4,S,1,,,,,,
570,"Jonsson, Mr. Carl",3,male,32.0,7.8542,,S,1,,,,,,
679,"Goodwin, Mrs. Frederick (Augusta Tyler)",3,female,43.0,46.9,,S,0,,,,,,
725,"Chambers, Mr. Norman Campbell",1,male,27.0,53.1,E8,S,1,,,,,,
369,"Jermyn, Miss. Annie",3,female,,7.75,,Q,1,,,,,,
764,"Carter, Mrs. William Ernest (Lucile Polk)",1,female,36.0,120.0,B96 B98,S,1,,,,,,
588,"Frolicher-Stehli, Mr. Maxmillian",1,male,60.0,79.2,B41,C,1,,,,,,
466,"Goncalves, Mr. Manuel Estanslas",3,male,38.0,7.05,,S,0,,,,,,
519,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",2,female,36.0,26.0,,S,1,,,,,,
856,"Aks, Mrs. Sam (Leah Rosen)",3,female,18.0,9.35,,S,1,,,,,,
351,"Odahl, Mr. Nils Martin",3,male,23.0,9.225,,S,0,,,,,,
215,"Kiernan, Mr. Philip",3,male,,7.75,,Q,0,,,,,,
820,"Skoog, Master. Karl Thorsten",3,male,10.0,27.9,,S,0,,,,,,
607,"Karaic, Mr. Milan",3,male,30.0,7.8958,,S,0,,,,,,
881,"Shelley, Mrs. William (Imanita Parrish Hall)",2,female,25.0,26.0,,S,1,,,,,,
297,"Hanna, Mr. Mansour",3,male,23.5,7.2292,,C,0,,,,,,
488,"Kent, Mr. Edward Austin",1,male,58.0,29.7,B37,C,0,,,,,,
112,"Zabour, Miss. Hileni",3,female,14.5,14.4542,,C,0,,,,,,
785,"Ali, Mr. William",3,male,25.0,7.05,,S,0,,,,,,
676,"Edvardsson, Mr. Gustaf Hjalmar",3,male,18.0,7.775,,S,0,,,,,,
398,"McKane, Mr. Peter David",2,male,46.0,26.0,,S,0,,,,,,
330,"Hippach, Miss. Jean Gertrude",1,female,16.0,57.9792,B18,C,1,,,,,,
609,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,female,22.0,41.5792,,C,1,,,,,,
827,"Lam, Mr. Len",3,male,,56.4958,,S,0,,,,,,
